,session_length,discount,user_id,successful,mean_price,min_price,max_price,mean_rating,min_rating,max_rating,prev_success_ratio,Gdynia,Kraków,Poznań,Radom,Szczecin,Warszawa,Wrocław
session_length,1.0,0.07515097921858853,-0.005564603765132447,0.15161779150678067,-0.043408478551525874,-0.2736475978159242,0.15189324295152273,-0.11373701053003603,-0.6222876142688591,0.45900216712973774,0.03547380602492288,-0.009734498936499964,0.008572994474945287,-0.01795728819586195,0.013512109306498933,-0.03420599724836712,0.02554173598255181,0.007147643616597467
discount,0.07515097921858853,1.0,-0.0002617066838070079,0.45727351912845793,-0.009075290047754071,-0.00433635940488075,-0.0070228717113245825,-0.011525298929464389,-0.005468593706802104,-0.011412242619612533,-0.0011261813468543623,0.0020117677880525293,-0.00485789942711695,-0.0004907839688911176,-0.000428173550270025,0.005577566865622512,0.0035622479805207763,-0.005357059707820533
user_id,-0.005564603765132447,-0.0002617066838070079,1.0,-0.025727011604563844,0.004565760137959472,0.004054924756137965,0.0036287640523861176,-0.007211686984127689,-0.0031965418400836036,0.00047606463134350005,-0.09355138247981293,-0.049211507633125415,-0.08283371454222352,0.07356055517511091,0.06676151271638738,0.11391622339850924,-0.03776235892041182,-0.07514449197492419
successful,0.15161779150678067,0.45727351912845793,-0.025727011604563844,1.0,0.0008976963618382923,0.005186260905807806,0.005610685739892918,0.0125877696282364,0.007708230182024027,0.0008654318229254178,0.17323078842352052,-0.044353226869052534,0.023233232184124566,-0.13278133189081529,0.08713548669961696,-0.13907821509190246,0.0986602581088573,0.07520354323366861
mean_price,-0.043408478551525874,-0.009075290047754071,0.004565760137959472,0.0008976963618382923,1.0,0.7410528843734838,0.9648631502838205,-0.10332556708064991,-0.08046038671067256,0.20296836978263252,0.003979140555244528,-0.004323389810140675,-0.0012970923352213835,-0.0019108752154424814,0.0027955493676937062,0.00476110729503064,-0.0005437155548770376,0.0005314784528496165
min_price,-0.2736475978159242,-0.00433635940488075,0.004054924756137965,0.005186260905807806,0.7410528843734838,1.0,0.6419599204424383,0.08681634410509512,-0.02270342249636907,0.11893893408930639,-0.0005917328393272608,-0.001733473647418155,-0.002463155390711542,-0.0016347552155009007,0.0008768660606228709,0.007781236692513347,-0.005701653906988591,0.003941932887611655
max_price,0.15189324295152273,-0.0070228717113245825,0.0036287640523861176,0.005610685739892918,0.9648631502838205,0.6419599204424383,1.0,-0.06750772096608734,-0.22262366918680732,0.33529667705425154,0.0053411653181688725,-0.004326421129180834,0.000755794021731148,-0.0006193636955358694,0.0019061238838083252,6.559783620297552e-05,0.0013762186693689275,0.0003827921226610546
mean_rating,-0.11373701053003603,-0.011525298929464389,-0.007211686984127689,0.0125877696282364,-0.10332556708064991,0.08681634410509512,-0.06750772096608734,1.0,0.4338052286120902,0.30103745830737905,0.0016082453119905772,-0.003553326224995586,0.001656903790103163,0.009781112503228986,-0.0015179540504288848,-0.008711413618569665,-0.00020060189698182764,0.002198560915042643
min_rating,-0.6222876142688591,-0.005468593706802104,-0.0031965418400836036,0.007708230182024027,-0.08046038671067256,-0.02270342249636907,-0.22262366918680732,0.4338052286120902,1.0,-0.3826387731530143,-6.0839860755006535e-05,-0.0013766755160346995,-0.00983508052622027,0.0066253219705147475,0.007654213941925659,-0.0008412024768782769,-0.0034628904190444243,0.0013544914606136598
max_rating,0.45900216712973774,-0.011412242619612533,0.00047606463134350005,0.0008654318229254178,0.20296836978263252,0.11893893408930639,0.33529667705425154,0.30103745830737905,-0.3826387731530143,1.0,0.01336735287960963,-0.0020704761047926025,0.005844958165241212,0.007740034856590785,0.00491091736393464,-0.016674467953210058,0.004060926307728626,-0.005522411520468479
