,session_length,discount,user_id,successful,mean_price,min_price,max_price,mean_rating,min_rating,max_rating,prev_success_ratio
session_length,1.0,0.04924727064238112,-0.005154941199183158,0.10156690509927341,0.11035075956209851,-0.008098068990650584,0.21598153704076029,-0.04320179714637162,-0.508402781839846,0.4976215362039103,0.025434958217966708
discount,0.04924727064238112,1.0,0.0012599479705753596,0.43269169030844573,-0.005877956619020733,-0.004022449965705874,-0.0025289378111673323,-0.023369606871024004,-0.013705082291041623,-0.015144228003822589,0.0003335660883185937
user_id,-0.005154941199183158,0.0012599479705753596,1.0,-0.02537634087561161,-0.0012097913226733305,0.0027173060893284974,-0.003250218850062415,-0.0012711248689880866,-0.0014390915060439736,-0.0002863506011837888,-0.08708166554037663
successful,0.10156690509927341,0.43269169030844573,-0.02537634087561161,1.0,-0.000617766469083056,0.006171868923434261,0.006585600850316935,-0.0037605798033859563,0.008683128943632105,-0.0018923134169735907,0.16375035205100474
mean_price,0.11035075956209851,-0.005877956619020733,-0.0012097913226733305,-0.000617766469083056,1.0,0.9224792807379735,0.9604193539763776,0.043846669062712486,-0.10476403237560952,0.2687857167057597,0.010283959862574797
min_price,-0.008098068990650584,-0.004022449965705874,0.0027173060893284974,0.006171868923434261,0.9224792807379735,1.0,0.8003999192309242,0.07314093958303351,-0.07572172159264683,0.2597398200435638,0.009307531883370914
max_price,0.21598153704076029,-0.0025289378111673323,-0.003250218850062415,0.006585600850316935,0.9604193539763776,0.8003999192309242,1.0,0.031483891220340295,-0.15122736648509466,0.29891682408642534,0.01040074240296404
mean_rating,-0.04320179714637162,-0.023369606871024004,-0.0012711248689880866,-0.0037605798033859563,0.043846669062712486,0.07314093958303351,0.031483891220340295,1.0,0.6975316954590411,0.6091813228626826,0.005781169073990066
min_rating,-0.508402781839846,-0.013705082291041623,-0.0014390915060439736,0.008683128943632105,-0.10476403237560952,-0.07572172159264683,-0.15122736648509466,0.6975316954590411,1.0,-0.0446781155192712,-0.001047404734309548
max_rating,0.4976215362039103,-0.015144228003822589,-0.0002863506011837888,-0.0018923134169735907,0.2687857167057597,0.2597398200435638,0.29891682408642534,0.6091813228626826,-0.0446781155192712,1.0,0.01317705963783596
prev_success_ratio,0.025434958217966708,0.0003335660883185937,-0.08708166554037663,0.16375035205100474,0.010283959862574797,0.009307531883370914,0.01040074240296404,0.005781169073990066,-0.001047404734309548,0.01317705963783596,1.0
